date,total_energy_kwh,session_count,unique_stations_used
2018-07-22,725.581,100,26
2018-07-23,925.742,112,26
2018-07-24,1040.657,115,27
2018-07-25,905.543,123,27
2018-07-26,973.431,118,29
2018-07-27,1087.66,124,26
2018-07-28,710.257,101,27
2018-07-29,554.455,72,25
2018-07-30,894.333,106,27
2018-07-31,989.373,116,29
2018-08-01,1051.762,124,29
2018-08-02,961.1610000000001,120,28
2018-08-03,939.964,117,28
2018-08-04,638.254,80,27
2018-08-05,674.501,84,26
2018-08-06,1038.809,115,29
2018-08-07,901.862,115,27
2018-08-08,881.342,103,28
2018-08-09,1115.99,130,30
2018-08-10,1007.231,112,26
2018-08-11,603.96,87,27
2018-08-12,676.023,92,26
2018-08-13,930.616,108,30
2018-08-14,1030.674,126,30
2018-08-15,991.907,123,27
2018-08-16,885.364,119,28
2018-08-17,1047.84,127,30
2018-08-18,718.815,96,27
2018-08-19,753.601,98,27
2018-08-20,888.481,96,28
2018-08-21,955.324,121,27
2018-08-22,1157.383,125,29
2018-08-23,972.256,123,27
2018-08-24,974.705,123,25
2018-08-25,861.83,118,27
2018-08-26,1030.899,114,28
2018-08-27,1077.445,117,28
2018-08-28,921.57,112,26
2018-08-29,987.332,110,24
2018-08-30,988.879,121,27
2018-08-31,992.95,119,28
2018-09-01,618.581,70,27
2018-09-02,700.091,91,23
2018-09-03,431.705,57,23
2018-09-04,1073.243,121,30
2018-09-05,801.415,109,28
2018-09-06,1034.268,116,28
2018-09-07,1021.697,127,28
2018-09-08,644.869,86,26
2018-09-09,715.456,93,28
2018-09-10,1035.359,113,27
2018-09-11,906.176,109,27
2018-09-12,944.392,104,27
2018-09-13,960.26,124,28
2018-09-14,1010.127,118,27
2018-09-15,688.085,81,28
2018-09-16,574.62,83,25
2018-09-17,965.741,115,28
2018-09-18,1012.785,120,28
2018-09-19,1033.648,112,28
2018-09-20,1181.538,135,27
2018-09-21,1105.526,137,28
2018-09-22,838.7,115,26
2018-09-23,527.578,65,22
2018-09-24,990.984,105,27
2018-09-25,962.79,112,27
2018-09-26,1110.056,126,27
2018-09-27,977.15,113,26
2018-09-28,989.167,125,26
2018-09-29,633.656,96,26
2018-09-30,527.439,78,25
2018-10-01,973.903,104,26
2018-10-02,1088.562,117,26
2018-10-03,1209.396,128,27
2018-10-04,1229.644,127,27
2018-10-05,1123.5529999999999,132,27
2018-10-06,658.852,86,25
2018-10-07,590.456,82,26
2018-10-08,918.091,105,27
2018-10-09,1030.717,118,27
2018-10-10,1083.415,130,28
2018-10-11,1108.356,134,27
2018-10-12,1186.857,131,27
2018-10-13,659.071,88,26
2018-10-14,743.662,94,26
2018-10-15,1027.697,120,26
2018-10-16,1098.602,120,27
2018-10-17,1082.32,128,24
2018-10-18,1278.143,141,27
2018-10-19,1066.111,136,26
2018-10-20,704.285,92,26
2018-10-21,640.094,82,25
2018-10-22,908.87,111,28
2018-10-23,1055.102,115,26
2018-10-24,1161.758,123,28
2018-10-25,1118.017,128,28
2018-10-26,1102.527,140,28
2018-10-27,703.919,98,28
2018-10-28,926.063,108,28
2018-10-29,946.123,107,28
2018-10-30,1004.859,117,28
2018-10-31,993.542,104,27
2018-11-01,1242.992,143,28
2018-11-02,1193.593,131,28
2018-11-03,806.309,94,28
2018-11-04,806.89,101,28
2018-11-05,1130.47,111,28
2018-11-06,1098.237,120,28
2018-11-07,1293.192,132,28
2018-11-08,986.5219999999999,135,27
2018-11-09,1008.413,114,28
2018-11-10,851.477,110,27
2018-11-11,669.809,87,29
2018-11-12,768.992,90,26
2018-11-13,1231.496,126,28
2018-11-14,1277.943,138,28
2018-11-15,1204.417,143,28
2018-11-16,974.982,120,28
2018-11-17,505.979,75,25
2018-11-18,620.928,70,28
2018-11-19,1114.715,101,28
2018-11-20,947.887,100,26
2018-11-21,667.393,87,25
2018-11-22,191.861,21,15
2018-11-23,520.207,61,24
2018-11-24,662.66,81,26
2018-11-25,516.955,83,27
2018-11-26,955.439,111,28
2018-11-27,1083.831,126,27
2018-11-28,1264.163,136,28
2018-11-29,1268.614,131,28
2018-11-30,1201.788,136,25
2018-12-01,718.915,95,26
2018-12-02,799.119,111,28
2018-12-03,1209.54,121,27
2018-12-04,1236.333,140,26
2018-12-05,1296.394,149,28
2018-12-06,1228.684,143,28
2018-12-07,1159.974,130,28
2018-12-08,694.018,94,25
2018-12-09,715.388,94,26
2018-12-10,1085.005,121,27
2018-12-11,1263.333,136,27
2018-12-12,1320.894,133,28
2018-12-13,1363.766,146,28
2018-12-14,1120.313,130,28
2018-12-15,642.524,103,26
2018-12-16,632.685,85,27
2018-12-17,1342.819,148,28
2018-12-18,1411.918,142,27
2018-12-19,1149.879,134,28
2018-12-20,1214.529,138,27
2018-12-21,1155.599,125,28
2018-12-22,705.975,86,26
2018-12-23,539.769,74,25
2018-12-24,449.615,50,20
2018-12-25,306.495,27,17
2018-12-26,617.671,75,24
2018-12-27,544.959,68,24
2018-12-28,586.51,87,26
2018-12-29,527.762,64,26
2018-12-30,576.288,69,24
2018-12-31,660.027,72,25
2019-01-01,327.774,40,20
2019-01-02,909.1949999999999,107,28
2019-01-03,989.801,113,28
2019-01-04,983.842,116,27
2019-01-05,631.055,87,26
2019-01-06,789.771,85,27
2019-01-07,1034.317,103,27
2019-01-08,972.364,110,28
2019-01-09,1281.182,126,28
2019-01-10,1147.058,130,28
2019-01-11,1531.662,151,27
2019-01-12,1027.943,114,28
2019-01-13,791.427,104,27
2019-01-14,1188.538,125,28
2019-01-15,1204.132,120,27
2019-01-16,1110.852,115,28
2019-01-17,1569.8,144,28
2019-01-18,1178.771,120,28
2019-01-19,929.475,118,28
2019-01-20,784.122,102,26
2019-01-21,783.024,102,30
2019-01-22,1220.725,126,28
2019-01-23,1150.883,136,28
2019-01-24,1484.682,143,28
2019-01-25,1257.252,147,28
2019-01-26,730.851,100,25
2019-01-27,785.136,108,26
2019-01-28,1378.725,133,28
2019-01-29,1139.907,123,28
2019-01-30,1156.629,128,27
2019-01-31,1189.9,128,26
2019-02-01,1060.112,126,26
2019-02-02,802.638,106,25
2019-02-03,744.596,86,24
2019-02-04,1146.436,132,27
2019-02-05,1202.987,131,27
2019-02-06,1532.555,146,27
2019-02-07,1380.042,144,28
2019-02-08,1244.192,139,27
2019-02-09,775.4830000000001,110,27
2019-02-10,862.323,124,26
2019-02-11,1080.355,123,26
2019-02-12,1155.542,133,27
2019-02-13,1198.553,126,25
2019-02-14,1353.799,148,27
2019-02-15,1193.143,138,27
2019-02-16,850.918,109,28
2019-02-17,695.915,97,24
2019-02-18,978.433,90,27
2019-02-19,1206.526,124,28
2019-02-20,1393.256,137,28
2019-02-21,1489.968,141,28
2019-02-22,1261.632,145,28
2019-02-23,873.705,107,30
2019-02-24,631.663,97,27
2019-02-25,1132.829,116,28
2019-02-26,1070.468,125,28
2019-02-27,1077.192,123,28
2019-02-28,1326.982,133,29
2019-03-01,1277.169,143,28
2019-03-02,826.737,99,30
2019-03-03,738.4639999999999,93,28
2019-03-04,1240.04,120,29
2019-03-05,1082.979,130,28
2019-03-06,1218.989,131,29
2019-03-07,1279.351,121,28
2019-03-08,1273.8609999999999,133,28
2019-03-09,931.451,109,28
2019-03-10,670.7189999999999,87,28
2019-03-11,1155.121,130,28
2019-03-12,1170.225,117,28
2019-03-13,1382.932,142,28
2019-03-14,1180.115,130,28
2019-03-15,1332.673,145,28
2019-03-16,756.065,93,27
2019-03-17,890.317,124,29
