date,total_energy_kwh,session_count,unique_stations_used,day_of_week,is_weekend,month,is_holiday,dow_sin,dow_cos,month_sin,month_cos,lag_1d,lag_7d,rolling_7d_avg,rolling_14d_avg
2018-01-15,800.771,99,24,0,0,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387,692.219,901.098,910.2932857142857,835.0037142857143
2018-01-16,1047.477,117,25,1,0,1,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,800.771,926.603,895.9608571428572,863.3639999999999
2018-01-17,1072.435,128,25,2,0,1,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,1047.477,998.523,913.2285714285715,877.8741428571428
2018-01-18,1076.323,122,25,3,0,1,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,1072.435,1101.762,923.7874285714286,895.7571428571429
2018-01-19,1142.077,129,24,4,0,1,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,1076.323,1050.753,920.1532857142857,899.4050714285713
2018-01-20,767.319,104,24,5,1,1,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1142.077,701.095,933.1995714285714,916.8897142857143
2018-01-21,647.266,82,23,6,1,1,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,767.319,692.219,942.6601428571429,928.5467857142856
2018-01-22,1061.105,116,25,0,0,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387,647.266,800.771,936.2382857142858,923.2657857142857
2018-01-23,1059.73,124,25,1,0,1,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,1061.105,1047.477,973.4288571428572,934.6948571428571
2018-01-24,1189.297,136,25,2,0,1,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,1059.73,1072.435,975.1792857142856,944.2039285714285
2018-01-25,1130.727,138,26,3,0,1,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,1189.297,1076.323,991.8738571428572,957.830642857143
2018-01-26,1087.988,124,25,4,0,1,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,1130.727,1142.077,999.6458571428572,959.8995714285713
2018-01-27,828.23,115,24,5,1,1,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1087.988,767.319,991.9188571428571,962.5592142857143
2018-01-28,793.3629999999999,91,25,6,1,1,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,828.23,647.266,1000.6204285714286,971.6402857142857
2018-01-29,896.64,108,25,0,0,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387,793.3629999999999,1061.105,1021.4914285714285,978.8648571428572
2018-01-30,1099.572,128,25,1,0,1,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,896.64,1059.73,997.9964285714286,985.7126428571428
2018-01-31,1036.539,119,25,2,0,1,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,1099.572,1189.297,1003.688142857143,989.4337142857142
2018-02-01,1048.01,116,25,3,0,2,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,1036.539,1130.727,981.8655714285715,986.8697142857143
2018-02-02,1034.322,123,25,4,0,2,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,1048.01,1087.988,970.0488571428572,984.847357142857
2018-02-03,818.384,93,24,5,1,2,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,1034.322,828.23,962.3822857142857,977.1505714285714
2018-02-04,368.055,54,20,6,1,2,0,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,818.384,793.3629999999999,960.9757142857143,980.7980714285715
2018-02-05,777.492,101,25,0,0,2,0,0.0,1.0,0.8660254037844386,0.5000000000000001,368.055,896.64,900.2174285714285,960.8544285714286
2018-02-06,999.339,113,26,1,0,2,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,777.492,1099.572,883.1962857142856,940.5963571428572
2018-02-07,1016.121,122,24,2,0,2,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,999.339,1036.539,868.8772857142857,936.2827142857142
2018-02-08,1016.273,128,26,3,0,2,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,1016.121,1048.01,865.9604285714286,923.9130000000001
2018-02-09,1026.911,130,25,4,0,2,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,1016.273,1034.322,861.4265714285714,915.7377142857142
2018-02-10,570.029,84,24,5,1,2,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,1026.911,818.384,860.3678571428572,911.3750714285715
2018-02-11,544.581,78,24,6,1,2,0,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,570.029,368.055,824.8885714285715,892.9321428571428
2018-02-12,1012.001,119,25,0,0,2,0,0.0,1.0,0.8660254037844386,0.5000000000000001,544.581,777.492,850.1065714285714,875.162
2018-02-13,1095.715,130,26,1,0,2,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,1012.001,999.339,883.6078571428571,883.4020714285715
2018-02-14,1232.205,134,24,2,0,2,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,1095.715,1016.121,897.3758571428571,883.1265714285715
2018-02-15,1054.109,125,25,3,0,2,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,1232.205,1016.273,928.245,897.1027142857143
2018-02-16,1166.46,130,25,4,0,2,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,1054.109,1026.911,933.6501428571428,897.5383571428572
2018-02-17,516.977,79,23,5,1,2,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,1166.46,570.029,953.5857142857142,906.9767857142857
2018-02-18,529.923,73,22,6,1,2,0,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,516.977,544.581,946.0068571428571,885.4477142857143
2018-02-19,563.205,79,21,0,0,2,0,0.0,1.0,0.8660254037844386,0.5000000000000001,529.923,1012.001,943.9128571428571,897.0097142857143
2018-02-20,947.751,110,26,1,0,2,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,563.205,1095.715,879.7991428571428,881.7035
2018-02-21,1125.917,125,24,2,0,2,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,947.751,1232.205,858.6614285714285,878.0186428571429
2018-02-22,1159.296,122,25,3,0,2,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,1125.917,1054.109,843.4774285714285,885.8612142857143
2018-02-23,886.69,108,26,4,0,2,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,1159.296,1166.46,858.5041428571429,896.0771428571428
2018-02-24,732.719,97,25,5,1,2,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,886.69,516.977,818.537,886.0613571428572
2018-02-25,621.394,66,22,6,1,2,0,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,732.719,529.923,849.3572857142857,897.6820714285714
2018-02-26,864.936,101,25,0,0,2,0,0.0,1.0,0.8660254037844386,0.5000000000000001,621.394,563.205,862.4245714285715,903.1687142857143
2018-02-27,1097.657,120,25,1,0,2,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,864.936,947.751,905.5289999999999,892.6640714285714
2018-02-28,1120.882,132,26,2,0,2,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,1097.657,1125.917,926.9441428571429,892.8027857142857
2018-03-01,1051.106,126,24,3,0,3,0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,1120.882,1159.296,926.2248571428572,884.8511428571428
2018-03-02,1079.539,134,25,4,0,3,0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,1051.106,886.69,910.7691428571428,884.6366428571429
2018-03-03,677.864,79,24,5,1,3,0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,1079.539,732.719,938.3190000000001,878.428
2018-03-04,537.606,77,21,6,1,3,0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,677.864,621.394,930.4825714285715,889.9199285714285
2018-03-05,969.258,112,25,0,0,3,0,0.0,1.0,1.0,6.123233995736766e-17,537.606,864.936,918.5128571428571,890.4687142857143
2018-03-06,1034.946,123,25,1,0,3,0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,969.258,1097.657,933.416,919.4725000000001
